sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2272079591, -94.34529113769531, -66.1591796875, -162.9514617919922, 0, 0, 0, 0, 0, 0, 
1, 2272087924, -94.42249298095703, -66.14811706542969, -162.85289001464844, 9.082889556884766, -3.979875087738037, -0.3182298541069031, 1.5527732372283936, -4.870674133300781, 0.9604440331459045, 
2, 2272096257, -94.52753448486328, -66.15839385986328, -162.722900390625, 9.080395698547363, -4.004971504211426, -0.3048163652420044, 1.7334562540054321, -4.506799221038818, 1.0220719575881958, 
3, 2272104590, -94.58745574951172, -66.14691162109375, -162.63980102539062, 9.077718734741211, -3.9753620624542236, -0.31523582339286804, 1.9272023439407349, -4.1298604011535645, 1.055626630783081, 
4, 2272112923, -94.6419906616211, -66.15093231201172, -162.55514526367188, 9.0549898147583, -3.9879302978515625, -0.30464428663253784, 2.103121042251587, -3.7889091968536377, 1.1465829610824585, 
5, 2272121256, -94.68641662597656, -66.1396713256836, -162.48666381835938, 9.068845748901367, -3.982064723968506, -0.31528496742248535, 2.1883652210235596, -3.4218316078186035, 1.0770658254623413, 
6, 2272129589, -94.70555114746094, -66.14048767089844, -162.41653442382812, 9.064376831054688, -4.012932777404785, -0.31277668476104736, 2.3886938095092773, -3.0908186435699463, 1.0923573970794678, 
7, 2272137922, -94.73560333251953, -66.1294174194336, -162.3612823486328, 9.056507110595703, -4.0126519203186035, -0.28415533900260925, 2.4529597759246826, -2.7826788425445557, 1.1080844402313232, 
8, 2272146255, -94.717529296875, -66.11894226074219, -162.35089111328125, 9.061575889587402, -4.039488792419434, -0.25826627016067505, 2.6825404167175293, -2.3944954872131348, 1.0425889492034912, 
9, 2272154588, -94.72920989990234, -66.1080093383789, -162.31251525878906, 9.060586929321289, -4.021034240722656, -0.2908155620098114, 2.80643630027771, -1.9681721925735474, 1.156059980392456, 
10, 2272162921, -94.67283630371094, -66.0905990600586, -162.3148651123047, 9.083740234375, -4.022664546966553, -0.282620370388031, 3.0031795501708984, -1.6620054244995117, 1.0873627662658691, 
11, 2272171254, -94.66757202148438, -66.08001708984375, -162.2919464111328, 9.044679641723633, -4.0387678146362305, -0.2658537030220032, 3.145108222961426, -1.2144222259521484, 1.1759369373321533, 
12, 2272179587, -94.59408569335938, -66.06096649169922, -162.3243865966797, 9.082254409790039, -4.029653072357178, -0.28418728709220886, 3.2603721618652344, -1.0128381252288818, 1.2224522829055786, 
13, 2272187920, -94.57527160644531, -66.05120086669922, -162.31373596191406, 9.061325073242188, -4.044124603271484, -0.2867555618286133, 3.424379825592041, -0.6100541949272156, 1.127192735671997, 
14, 2272196253, -94.495361328125, -66.03351593017578, -162.33880615234375, 9.05496883392334, -4.0442328453063965, -0.2904973328113556, 3.5954573154449463, -0.311853289604187, 1.1599278450012207, 
15, 2272204586, -94.46116638183594, -66.02265167236328, -162.3427734375, 9.050785064697266, -4.034879207611084, -0.2720804810523987, 3.6640777587890625, 0.09181422740221024, 1.3173528909683228, 
16, 2272212919, -94.3746566772461, -66.00382232666016, -162.38287353515625, 9.06287956237793, -4.025775909423828, -0.27168259024620056, 3.7613089084625244, 0.3867620825767517, 1.3273935317993164, 
17, 2272221252, -94.327880859375, -65.99335479736328, -162.39871215820312, 9.054803848266602, -3.998368978500366, -0.28181615471839905, 3.879775047302246, 0.6749991178512573, 1.3077476024627686, 
18, 2272229585, -94.23221588134766, -65.97958374023438, -162.43643188476562, 9.051825523376465, -4.029703617095947, -0.3167128264904022, 4.058921813964844, 1.1628735065460205, 1.2230156660079956, 
19, 2272237918, -94.16815948486328, -65.96998596191406, -162.4682159423828, 9.064093589782715, -4.015141487121582, -0.2996434271335602, 4.2055888175964355, 1.4627394676208496, 1.2620518207550049, 
20, 2272246251, -94.07035827636719, -65.9570541381836, -162.50588989257812, 9.054519653320312, -4.020323753356934, -0.2713299095630646, 4.375743865966797, 1.8857585191726685, 1.352803111076355, 
21, 2272254584, -93.98979949951172, -65.9466552734375, -162.55258178710938, 9.075725555419922, -4.000643730163574, -0.2753387689590454, 4.547102928161621, 2.1921815872192383, 1.4046462774276733, 
22, 2272262917, -93.88203430175781, -65.93670654296875, -162.60928344726562, 9.07656192779541, -4.015665531158447, -0.3008258044719696, 4.729450702667236, 2.532287359237671, 1.313562035560608, 
23, 2272271250, -93.78573608398438, -65.92655944824219, -162.67007446289062, 9.086780548095703, -4.005161762237549, -0.3109632432460785, 4.888105392456055, 2.8865838050842285, 1.4175301790237427, 
24, 2272279583, -93.6722183227539, -65.91822052001953, -162.7256317138672, 9.088212013244629, -3.9886741638183594, -0.2765673100948334, 5.015127182006836, 3.25010085105896, 1.3936322927474976, 
25, 2272287916, -93.56010437011719, -65.9093017578125, -162.80101013183594, 9.09298038482666, -3.9907608032226562, -0.2841551601886749, 5.197653770446777, 3.6178700923919678, 1.297220230102539, 
26, 2272296249, -93.43657684326172, -65.90371704101562, -162.84506225585938, 9.106825828552246, -4.000446319580078, -0.29429107904434204, 5.3693718910217285, 3.919733762741089, 1.4011884927749634, 
27, 2272304582, -93.30802154541016, -65.89444732666016, -162.93450927734375, 9.106204986572266, -4.002483367919922, -0.2838384211063385, 5.627717018127441, 4.310606956481934, 1.3697854280471802, 
28, 2272312915, -93.17333221435547, -65.89103698730469, -163.00921630859375, 9.096365928649902, -3.997445821762085, -0.29472464323043823, 5.810627460479736, 4.670538425445557, 1.3420195579528809, 
29, 2272321248, -93.03248596191406, -65.88187408447266, -163.11083984375, 9.115796089172363, -4.005420207977295, -0.3011898696422577, 5.772156238555908, 4.916742324829102, 1.3680691719055176, 
