sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 348629228, -160.248046875, -80.27542877197266, -156.2926788330078, 0, 0, 0, 0, 0, 0, 
1, 348637561, -160.0417938232422, -80.25704956054688, -156.47232055664062, 9.711308479309082, -0.5464487671852112, -1.5756824016571045, 3.5022218227386475, -0.8370987772941589, 4.178539752960205, 
2, 348645894, -160.10064697265625, -80.22539520263672, -156.36326599121094, 9.687076568603516, -0.5414890050888062, -1.558424711227417, 3.3538384437561035, -0.9111239910125732, 2.8787710666656494, 
3, 348654227, -160.0143585205078, -80.21377563476562, -156.42396545410156, 9.672041893005371, -0.5521596074104309, -1.5684220790863037, 3.1696717739105225, -0.8966262340545654, 1.6428074836730957, 
4, 348662560, -160.15574645996094, -80.20838928222656, -156.25042724609375, 9.666296005249023, -0.5418294072151184, -1.5751185417175293, 2.9085350036621094, -0.8329493403434753, 0.3936523497104645, 
5, 348670893, -160.17710876464844, -80.20439910888672, -156.20477294921875, 9.689840316772461, -0.5550912022590637, -1.575982928276062, 2.8326399326324463, -0.7666084170341492, -0.7129978537559509, 
6, 348679226, -160.39207458496094, -80.20561981201172, -155.9716339111328, 9.677058219909668, -0.5356621146202087, -1.600638508796692, 2.689072370529175, -0.7956806421279907, -1.9489103555679321, 
7, 348687559, -160.5272674560547, -80.2082748413086, -155.81338500976562, 9.673373222351074, -0.5399162173271179, -1.5996897220611572, 2.4882049560546875, -0.7820794582366943, -3.150397300720215, 
8, 348695892, -160.85520935058594, -80.20704650878906, -155.47373962402344, 9.680915832519531, -0.5189391374588013, -1.5824058055877686, 2.3246841430664062, -0.8672212362289429, -4.358185291290283, 
9, 348704225, -161.10012817382812, -80.21570587158203, -155.20648193359375, 9.688200950622559, -0.5563181042671204, -1.5685012340545654, 2.2107772827148438, -0.79847252368927, -5.491077423095703, 
10, 348712558, -161.49107360839844, -80.2252197265625, -154.8253173828125, 9.686750411987305, -0.5369317531585693, -1.5623149871826172, 2.0749194622039795, -0.9105347990989685, -6.729883670806885, 
11, 348720891, -161.85057067871094, -80.23889923095703, -154.44363403320312, 9.685142517089844, -0.5474216938018799, -1.5907381772994995, 1.9984352588653564, -0.8834350109100342, -7.893820285797119, 
12, 348729224, -162.29615783691406, -80.25484466552734, -153.99606323242188, 9.692963600158691, -0.5396134853363037, -1.5734587907791138, 1.8350169658660889, -0.8317455649375916, -9.044644355773926, 
13, 348737557, -162.76113891601562, -80.2738265991211, -153.5106964111328, 9.713624954223633, -0.5483433604240417, -1.5835143327713013, 1.5995194911956787, -0.7896100282669067, -10.077281951904297, 
14, 348745890, -163.2657928466797, -80.29327392578125, -152.998291015625, 9.705092430114746, -0.5686575174331665, -1.5970969200134277, 1.445757269859314, -0.8958067297935486, -11.225900650024414, 
15, 348754223, -163.8411102294922, -80.31466674804688, -152.40362548828125, 9.724164962768555, -0.5560582876205444, -1.5927850008010864, 1.3068510293960571, -0.934561014175415, -12.256693840026855, 
16, 348762556, -164.39572143554688, -80.33502960205078, -151.84552001953125, 9.712371826171875, -0.5765488743782043, -1.5788952112197876, 1.1298567056655884, -0.7721923589706421, -13.339125633239746, 
17, 348770889, -165.076171875, -80.35969543457031, -151.14642333984375, 9.737157821655273, -0.5644581317901611, -1.5854557752609253, 1.0451761484146118, -0.8554130792617798, -14.346892356872559, 
18, 348779222, -165.68157958984375, -80.38005065917969, -150.55154418945312, 9.74758243560791, -0.5728127956390381, -1.5717613697052002, 0.9277349710464478, -0.9371481537818909, -15.328404426574707, 
19, 348787555, -166.46461486816406, -80.40567016601562, -149.7503204345703, 9.750693321228027, -0.5727331638336182, -1.5819343328475952, 0.829376220703125, -0.8813347220420837, -16.31545066833496, 
20, 348795888, -167.124267578125, -80.42768096923828, -149.1022186279297, 9.772198677062988, -0.5728790760040283, -1.6232502460479736, 0.6115527749061584, -0.8589479923248291, -17.2481689453125, 
21, 348804221, -168.00555419921875, -80.45319366455078, -148.2039794921875, 9.775785446166992, -0.5692206621170044, -1.5693145990371704, 0.5316619873046875, -0.8734200596809387, -18.139930725097656, 
22, 348812554, -168.72503662109375, -80.47309112548828, -147.49700927734375, 9.775785446166992, -0.5741609930992126, -1.5812690258026123, 0.43906649947166443, -0.9423478841781616, -19.05609893798828, 
23, 348820887, -169.70140075683594, -80.49606323242188, -146.5044403076172, 9.818350791931152, -0.5897600054740906, -1.580501675605774, 0.2972148656845093, -0.9851749539375305, -19.85759735107422, 
24, 348829220, -170.46530151367188, -80.51515197753906, -145.74832153320312, 9.805870056152344, -0.5867486596107483, -1.5613930225372314, 0.1310296654701233, -0.8822314739227295, -20.57620620727539, 
25, 348837553, -171.52432250976562, -80.53672790527344, -144.67343139648438, 9.807799339294434, -0.5774421095848083, -1.6118111610412598, 0.1429659128189087, -0.7677870988845825, -21.377214431762695, 
26, 348845886, -172.34080505371094, -80.55274200439453, -143.863525390625, 9.820222854614258, -0.5990030765533447, -1.5887576341629028, -0.016521189361810684, -0.9393768310546875, -22.165185928344727, 
27, 348854219, -173.4808807373047, -80.5687255859375, -142.70790100097656, 9.821557998657227, -0.6128677129745483, -1.6061253547668457, -0.010015169158577919, -0.9013652205467224, -22.808666229248047, 
