sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 298259808, -154.07666015625, -79.85417175292969, -156.33004760742188, 0, 0, 0, 0, 0, 0, 
1, 298268141, -154.246826171875, -79.8548355102539, -156.13558959960938, 9.84379768371582, -0.7805658578872681, -1.547561526298523, 2.5503711700439453, -1.7189199924468994, -3.7346065044403076, 
2, 298276474, -154.32583618164062, -79.88059997558594, -156.0424041748047, 9.832742691040039, -0.7723054885864258, -1.5773800611495972, 2.61801815032959, -1.723095417022705, -3.1904070377349854, 
3, 298284807, -154.4438018798828, -79.87762451171875, -155.9001922607422, 9.85299301147461, -0.7944769859313965, -1.5701990127563477, 2.6396877765655518, -1.6287834644317627, -2.5446460247039795, 
4, 298293140, -154.39483642578125, -79.88172912597656, -155.9597625732422, 9.861985206604004, -0.7862805724143982, -1.568804144859314, 2.8160674571990967, -1.701015591621399, -1.8447628021240234, 
5, 298301473, -154.45474243164062, -79.87478637695312, -155.87496948242188, 9.837943077087402, -0.7759336829185486, -1.5760093927383423, 2.8276965618133545, -1.522971272468567, -1.2532789707183838, 
6, 298309806, -154.34652709960938, -79.87144470214844, -155.99903869628906, 9.876123428344727, -0.7786697149276733, -1.5926752090454102, 2.864529609680176, -1.5250202417373657, -0.6500380039215088, 
7, 298318139, -154.3507843017578, -79.86024475097656, -155.96920776367188, 9.848379135131836, -0.7753344774246216, -1.5760935544967651, 3.017754077911377, -1.4788892269134521, 0.010258502326905727, 
8, 298326472, -154.22341918945312, -79.84880828857422, -156.0624237060547, 9.85892105102539, -0.7654406428337097, -1.5869680643081665, 3.20222806930542, -1.4144182205200195, 0.70489102602005, 
9, 298334805, -154.1708984375, -79.83416748046875, -156.0884552001953, 9.860511779785156, -0.7838106155395508, -1.5664781332015991, 3.225843667984009, -1.3408026695251465, 1.2604379653930664, 
10, 298343138, -154.01821899414062, -79.82034301757812, -156.208984375, 9.841642379760742, -0.7927851676940918, -1.5827451944351196, 3.346742868423462, -1.3599109649658203, 1.9324272871017456, 
11, 298351471, -153.90548706054688, -79.80134582519531, -156.29449462890625, 9.842769622802734, -0.7658259272575378, -1.5661866664886475, 3.4279913902282715, -1.2542778253555298, 2.633591651916504, 
12, 298359804, -153.71299743652344, -79.78440856933594, -156.48582458496094, 9.85892391204834, -0.7847433686256409, -1.528956413269043, 3.397894859313965, -1.1900373697280884, 3.2629077434539795, 
13, 298368137, -153.54644775390625, -79.76142120361328, -156.62503051757812, 9.845129013061523, -0.7617434859275818, -1.5725343227386475, 3.5400278568267822, -1.1612725257873535, 3.8854615688323975, 
14, 298376470, -153.35208129882812, -79.73542022705078, -156.79202270507812, 9.848200798034668, -0.7830225825309753, -1.5535757541656494, 3.6055498123168945, -1.1962103843688965, 4.585447788238525, 
15, 298384803, -153.0946044921875, -79.7164077758789, -157.02684020996094, 9.854704856872559, -0.7852044105529785, -1.5494294166564941, 3.6920738220214844, -1.188705325126648, 5.193400859832764, 
16, 298393136, -152.82345581054688, -79.6982650756836, -157.28036499023438, 9.849928855895996, -0.763399064540863, -1.5729305744171143, 3.827573537826538, -1.0812538862228394, 5.736936092376709, 
17, 298401469, -152.54965209960938, -79.66577911376953, -157.5254669189453, 9.836156845092773, -0.7636484503746033, -1.5849995613098145, 3.9161739349365234, -1.048339605331421, 6.4693498611450195, 
18, 298409802, -152.25730895996094, -79.64232635498047, -157.79869079589844, 9.85728645324707, -0.7630988359451294, -1.5496388673782349, 3.988097906112671, -1.0142724514007568, 7.067338466644287, 
19, 298418135, -151.93600463867188, -79.60592651367188, -158.0909881591797, 9.858089447021484, -0.7670111656188965, -1.5524736642837524, 4.050161361694336, -0.908101499080658, 7.630570411682129, 
20, 298426468, -151.61767578125, -79.58063507080078, -158.3942413330078, 9.845871925354004, -0.779671311378479, -1.5770937204360962, 4.051723957061768, -0.9310776591300964, 8.23232650756836, 
21, 298434801, -151.25816345214844, -79.53886413574219, -158.72518920898438, 9.857647895812988, -0.7707789540290833, -1.5600165128707886, 4.084177017211914, -0.9644272327423096, 8.719327926635742, 
22, 298443134, -150.91964721679688, -79.50902557373047, -159.03692626953125, 9.86211109161377, -0.7693910598754883, -1.5391508340835571, 4.103772163391113, -0.9659385681152344, 9.291449546813965, 
23, 298451467, -150.51483154296875, -79.46170806884766, -159.41232299804688, 9.85358715057373, -0.7568861246109009, -1.5458563566207886, 4.286094665527344, -0.9327423572540283, 9.949762344360352, 
24, 298459800, -150.14871215820312, -79.43038940429688, -159.75567626953125, 9.852282524108887, -0.7562816143035889, -1.5614595413208008, 4.363244533538818, -0.7646618485450745, 10.368144035339355, 
25, 298468133, -149.71337890625, -79.37857055664062, -160.1617431640625, 9.852962493896484, -0.7645645141601562, -1.540304183959961, 4.34460973739624, -0.8889933228492737, 10.86745548248291, 
26, 298476466, -149.32891845703125, -79.3440170288086, -160.52279663085938, 9.842588424682617, -0.7436022162437439, -1.5689600706100464, 4.523999214172363, -0.7419163584709167, 11.382287979125977, 
27, 298484799, -148.85877990722656, -79.28777313232422, -160.9626007080078, 9.86338996887207, -0.7448133230209351, -1.5552878379821777, 4.5499725341796875, -0.7695541381835938, 11.86611557006836, 
28, 298493132, -148.4667510986328, -79.2501220703125, -161.33489990234375, 9.877110481262207, -0.7264311909675598, -1.5491759777069092, 4.510884761810303, -0.6695818901062012, 12.25243091583252, 
29, 298501465, -147.97120666503906, -79.1895980834961, -161.80010986328125, 9.864333152770996, -0.7567459940910339, -1.567710280418396, 4.618900775909424, -0.6862822771072388, 12.711359977722168, 
